district_id,district_name,state,enrollment,instructional_staff,year,data_source,daily_instructional_minutes,lct_minutes,lct_hours,student_teacher_ratio,lct_percentile,lct_category
401410,Buckeye Union High School District (4284),AZ,5503.0,223.67,2023-24,nces_ccd,360,14.63,0.24,24.6,6.1,Very Low (<15 min)
401460,Sierra Vista Unified District (4175),AZ,4461.0,229.2,2023-24,nces_ccd,360,18.5,0.31,19.5,14.8,Low (15-20 min)
401500,Bullhead City School District (4378),AZ,2261.0,121.0,2023-24,nces_ccd,360,19.27,0.32,18.7,17.2,Low (15-20 min)
401600,Camp Verde Unified District (4470),AZ,1569.0,78.4,2023-24,nces_ccd,360,17.99,0.3,20.0,13.5,Low (15-20 min)
401650,Canon Elementary District (4484),AZ,128.0,11.75,2023-24,nces_ccd,360,33.05,0.55,10.9,78.4,Very High (>30 min)
401680,Cartwright Elementary District (4282),AZ,13720.0,688.32,2023-24,nces_ccd,360,18.06,0.3,19.9,13.8,Low (15-20 min)
401710,Casa Grande Elementary District (4446),AZ,6648.0,298.59,2023-24,nces_ccd,360,16.17,0.27,22.3,9.1,Low (15-20 min)
401740,Casa Grande Union High School District (4453),AZ,3957.0,176.2,2023-24,nces_ccd,360,16.03,0.27,22.5,8.8,Low (15-20 min)
401760,Catalina Foothills Unified District (4410),AZ,5164.0,300.21,2023-24,nces_ccd,360,20.93,0.35,17.2,23.2,Moderate (20-25 min)
401810,Cedar Unified District (4395),AZ,118.0,11.0,2023-24,nces_ccd,360,33.56,0.56,10.7,79.8,Very High (>30 min)
401870,Chandler Unified District #80 (4242),AZ,42832.0,2431.23,2023-24,nces_ccd,360,20.43,0.34,17.6,21.2,Moderate (20-25 min)
401940,Chinle Unified District (4158),AZ,3026.0,220.0,2023-24,nces_ccd,360,26.17,0.44,13.8,49.3,High (25-30 min)
402130,Cochise Elementary District (4177),AZ,81.0,10.0,2023-24,nces_ccd,360,44.44,0.74,8.1,93.3,Very High (>30 min)
402190,Concho Elementary District (4160),AZ,164.0,10.75,2023-24,nces_ccd,360,23.6,0.39,15.3,35.5,Moderate (20-25 min)
402220,Congress Elementary District (4479),AZ,106.0,11.5,2023-24,nces_ccd,360,39.06,0.65,9.2,89.3,Very High (>30 min)
402250,Continental Elementary District (4416),AZ,626.0,40.0,2023-24,nces_ccd,360,23.0,0.38,15.6,32.5,Moderate (20-25 min)
402320,Coolidge Unified District (4442),AZ,2778.0,146.02,2023-24,nces_ccd,360,18.92,0.32,19.0,16.1,Low (15-20 min)
402370,Cottonwood-Oak Creek Elementary District (4487),AZ,1742.0,95.11,2023-24,nces_ccd,360,19.66,0.33,18.3,18.5,Low (15-20 min)
402400,Crane Elementary District (4501),AZ,5873.0,276.51,2023-24,nces_ccd,360,16.95,0.28,21.2,11.1,Low (15-20 min)
402430,Creighton Elementary District (4263),AZ,4900.0,292.44,2023-24,nces_ccd,360,21.49,0.36,16.8,25.5,Moderate (20-25 min)
402460,Crown King Elementary District (4483),AZ,9.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
402530,Douglas Unified District (4174),AZ,3725.0,186.4,2023-24,nces_ccd,360,18.01,0.3,20.0,13.6,Low (15-20 min)
402600,Duncan Unified District (4228),AZ,374.0,20.06,2023-24,nces_ccd,360,19.31,0.32,18.6,17.3,Low (15-20 min)
402690,Dysart Unified District (4243),AZ,23118.0,1165.5,2023-24,nces_ccd,360,18.15,0.3,19.8,14.0,Low (15-20 min)
402740,Mary C O'Brien Accommodation District (4435),AZ,197.0,23.02,2023-24,nces_ccd,360,42.07,0.7,8.6,91.9,Very High (>30 min)
402790,Eloy Elementary District (4448),AZ,728.0,47.59,2023-24,nces_ccd,360,23.53,0.39,15.3,35.2,Moderate (20-25 min)
402860,Flagstaff Unified District (4192),AZ,8820.0,548.88,2023-24,nces_ccd,360,22.4,0.37,16.1,29.6,Moderate (20-25 min)
402920,Florence Unified School District (4437),AZ,8952.0,519.59,2023-24,nces_ccd,360,20.9,0.35,17.2,23.0,Moderate (20-25 min)
403010,Flowing Wells Unified District (4405),AZ,5287.0,305.8,2023-24,nces_ccd,360,20.82,0.35,17.3,22.7,Moderate (20-25 min)
403040,Fountain Hills Unified District (4247),AZ,1153.0,73.55,2023-24,nces_ccd,360,22.96,0.38,15.7,32.3,Moderate (20-25 min)
403060,Fowler Elementary District (4273),AZ,3511.0,177.0,2023-24,nces_ccd,360,18.15,0.3,19.8,14.0,Low (15-20 min)
403080,Fredonia-Moccasin Unified District (4195),AZ,157.0,14.99,2023-24,nces_ccd,360,34.37,0.57,10.5,81.8,Very High (>30 min)
403150,Fort Huachuca Accommodation District (4167),AZ,778.0,54.51,2023-24,nces_ccd,360,25.22,0.42,14.3,44.4,High (25-30 min)
403200,Fort Thomas Unified District (4221),AZ,624.0,54.51,2023-24,nces_ccd,360,31.45,0.52,11.4,73.5,Very High (>30 min)
403240,Gadsden Elementary District (4505),AZ,5170.0,185.38,2023-24,nces_ccd,360,12.91,0.22,27.9,4.6,Very Low (<15 min)
403290,Ganado Unified School District (4157),AZ,1091.0,73.0,2023-24,nces_ccd,360,24.09,0.4,14.9,38.1,Moderate (20-25 min)
403310,Gila Bend Unified District (4238),AZ,516.0,33.0,2023-24,nces_ccd,360,23.02,0.38,15.6,32.6,Moderate (20-25 min)
403400,Gilbert Unified District (4239),AZ,32402.0,1956.19,2023-24,nces_ccd,360,21.73,0.36,16.6,26.4,Moderate (20-25 min)
403420,Glendale Elementary District (4271),AZ,8858.0,433.0,2023-24,nces_ccd,360,17.6,0.29,20.5,12.6,Low (15-20 min)
403450,Glendale Union High School District (4285),AZ,16407.0,699.6,2023-24,nces_ccd,360,15.35,0.26,23.5,7.3,Low (15-20 min)
403500,Globe Unified District (4208),AZ,1671.0,77.51,2023-24,nces_ccd,360,16.7,0.28,21.6,10.5,Low (15-20 min)
403550,Grand Canyon Unified District (4194),AZ,246.0,27.04,2023-24,nces_ccd,360,39.57,0.66,9.1,89.9,Very High (>30 min)
403660,Hackberry School District (4371),AZ,48.0,2.15,2023-24,nces_ccd,360,16.12,0.27,22.3,9.0,Low (15-20 min)
403730,Hayden-Winkelman Unified District (4212),AZ,301.0,19.25,2023-24,nces_ccd,360,23.02,0.38,15.6,32.6,Moderate (20-25 min)
403780,Higley Unified School District (4248),AZ,12887.0,714.66,2023-24,nces_ccd,360,19.96,0.33,18.0,19.6,Low (15-20 min)
403820,Holbrook Unified District (4389),AZ,1838.0,120.35,2023-24,nces_ccd,360,23.57,0.39,15.3,35.4,Moderate (20-25 min)
403860,Maricopa County Regional School District (4234),AZ,83.0,4.0,2023-24,nces_ccd,360,17.35,0.29,20.8,11.9,Low (15-20 min)
403870,Humboldt Unified District (4469),AZ,5432.0,282.6,2023-24,nces_ccd,360,18.73,0.31,19.2,15.5,Low (15-20 min)
403900,Hyder Elementary District (4502),AZ,93.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
403950,Baboquivari Unified School District #40 (4412),AZ,1057.0,70.35,2023-24,nces_ccd,360,23.96,0.4,15.0,37.4,Moderate (20-25 min)
